pose,energy,deltae,grms,bonds,angles,ureyb,dihedrals,impropers,vdwaals,elec,hbonds,asp,user,grvdw,grelec
30,-39.9047251391835,-0.02122677375683324,1.3472917447264403,6.402064670507635e-05,3.449092270191301e-05,1.267817385436354e-06,1.600570835869064e-06,1.1548605007884183e-06,-7.082045738648901e-05,-9.154137540434704e-06,0.0,0.0,0.0,-4.545334885970388,-35.359412813436315
31,-39.83524118183904,-0.06948395734446322,1.7244371628802586,7.650585591023606e-05,-2.0978351249034688e-05,-2.775787275172137e-06,3.7089739102214025e-07,7.511361773031647e-07,-3.73196752789795e-05,-2.255345012969201e-07,0.0,0.0,0.0,-2.321837743187016,-37.51341976719319
32,-39.83413103342428,-0.001110148414756651,2.087729402390903,5.239759627917451e-05,1.2658732732262479e-05,-4.340947620584679e-06,-5.33728890417251e-06,2.4921041704914493e-07,-6.669391123459434e-05,9.271228201157555e-06,0.0,0.0,0.0,-1.3265944550477702,-38.50753478299638
33,-39.80938998622188,-0.02474104720240078,2.626203276711162,0.00024256869674088577,9.358442372597864e-06,-1.0682256311372873e-05,6.653787113286569e-06,-1.1791648996091822e-06,-0.00024799402799402515,2.965692683432053e-05,0.0,0.0,0.0,8.900663006255371,-48.710081374881106
34,-39.79861892140218,-0.010771064819699916,2.032136291631187,0.00015426019567987836,-3.804249452432629e-05,-2.6719073418224326e-06,-1.5013135823416235e-05,1.5241250910496412e-06,-0.00010890423319054321,1.207492784516262e-05,0.0,0.0,0.0,2.8924851838999226,-42.691107332779836
35,-39.79856127410291,-5.764729927193457e-05,2.233495180398862,-4.913759198665879e-05,-2.5898793958312183e-05,3.2192000104791507e-06,8.550427784470571e-06,-2.5153796400240874e-06,4.726054270776103e-05,8.747909033601786e-06,0.0,0.0,0.0,-5.285774314410036,-34.51277718600682
36,-39.78752472689798,-0.011036547204930969,1.7252079772298812,7.455346361151527e-05,-4.4297158874773146e-05,-1.6631639931097286e-06,-6.5478505719696045e-06,1.1304182651970113e-06,-7.475313482885326e-06,-7.082615324449648e-06,0.0,0.0,0.0,-4.389737056509262,-35.397796288168344
37,-39.72498649700388,-0.06253822989409485,1.8294002805289233,0.00013373211022749132,3.828608774902875e-06,-1.3587137825454842e-05,1.187514915379495e-05,1.878927548565161e-06,-0.00015014972048454922,1.95111424812211e-05,0.0,0.0,0.0,1.389836595771079,-41.114830181854835
38,-39.711975849440975,-0.013010647562904154,1.460730456529328,7.595269573545949e-05,-1.5096149021065486e-05,-2.4011622902081475e-06,-5.303517929711177e-06,3.50711869384103e-06,-5.725328347239156e-05,7.1275336583909166e-06,0.0,0.0,0.0,-2.6078971437323903,-37.10408523894396
39,-39.6780972610897,-0.03387858835127844,2.071603884439455,-4.212570805095517e-05,-4.29881983183833e-05,9.90543211604189e-06,2.6304190683390516e-06,-2.2799639702066055e-06,9.258599960482172e-05,-1.050199021612741e-05,0.0,0.0,0.0,3.0954393448489443,-42.773543831928876
